object_id,name,cospar_id,object_class,mass_kg,shape,max_cross_section_m2,min_cross_section_m2,avg_cross_section_m2,diameter_m,height_m,width_m
8009,Cosmos-746 engine,1975-059E,Payload Mission Related Object,594.65,Cone,,,,,1.0,0.4
7990,Cosmos-747 operational debris (sensor cover),1975-060C,Payload Mission Related Object,,,,,,,,
14062,Tsiklon 2-2 (Tsyklon SL-11 (F-1m)),1983-044B,Rocket Body,3072.35,Cyl,,,,3.0,10.89,
7972,Delta 900 fragmentation debris,1972-058CV,Rocket Fragmentation Debris,,,,,,,,
7974,Delta 900 fragmentation debris,1972-058CX,Rocket Fragmentation Debris,,,,,,,,
7949,Cosmos-742 engine,1975-048D,Payload Mission Related Object,594.65,Cone,,,,,1.0,0.4
7948,Proton-K 8S812 (Proton-K/D),1975-054B,Rocket Body,4147.67,Cyl,,,,4.15,4.11,
7930,Delta 900 fragmentation debris,1972-058CA,Rocket Fragmentation Debris,,,,,,,,
15852,Cosmos-1654 fragmentation debris,1985-039F,Payload Fragmentation Debris,,,,,,,,
10427,Cosmos-958 operational debris,1977-100G,Payload Mission Related Object,,,,,,,,
7933,Delta 900 fragmentation debris,1972-058CD,Rocket Fragmentation Debris,,,,,,,,
10415,Cosmos-839 fragmentation debris,1976-067L,Payload Fragmentation Debris,,,,,,,,
7905,Delta 900 fragmentation debris,1972-058BS,Rocket Fragmentation Debris,,,,,,,,
10401,Cosmos-958,1977-100A,Payload,6243.81,Sphere + Cyl,,,,2.4,6.49,
11668,Cosmos-1151,1980-005A,Payload,1888.0,Cyl + 2 Pan + 1 Ant,,,,2.4,5.0,
11667,Blok-ML (Molniya-M Blok-ML),1980-002F,Rocket Body,891.97,Cyl,,,,2.58,2.3,
10408,Cosmos-839 fragmentation debris,1976-067D,Payload Fragmentation Debris,,,,,,,,
10375,Cosmos 3 second stage (S3) (Cosmos 3M (11K65M)),1977-096B,Rocket Body,1421.21,Cyl,,,,2.4,6.57,
10353,Cosmos 3 second stage (S3) (Cosmos 3M (11K65M)),1977-087B,Rocket Body,1421.21,Cyl,,,,2.4,6.57,
10355,Cosmos-948 operational debris,1977-083D,Payload Mission Related Object,,,,,,,,
10354,Cosmos-948 engine (KDU),1977-083C,Payload Mission Related Object,425.0,Trunc Cone,,,,0.4,1.0,
10358,Blok-I (Soyuz-U),1977-089B,Rocket Body,2378.59,Cyl,,,,2.66,6.7,
14074,Intelsat V F-6,1983-047A,Payload,1002.97,Hex Poly + 2 Pan,,,,,6.4,2.0
10360,Cosmos-955,1977-091A,Payload,2477.7,Cyl + 2 Pan,,,,1.3,3.2,
10331,Cosmos-913 sub-satellite 7,1977-042J,Payload,5.0,Sphere,,,,,0.2,0.2
10330,Cosmos-913 sub-satellite 6,1977-042H,Payload,5.0,Sphere,,,,,0.2,0.2
10340,Delta 2914 fragmentation debris,1977-065DR,Rocket Fragmentation Debris,,,,,,,,
10304,Delta 2914 fragmentation debris,1977-065DC,Rocket Fragmentation Debris,,,,,,,,
14071,Soyuz-U operational debris,1983-045D,Rocket Mission Related Object,614.47,,,,,,,
10281,Blok-I (Soyuz-U),1977-078B,Rocket Body,2378.59,Cyl,,,,2.66,6.7,
10280,Cosmos-939,1977-079A,Payload,39.64,Sphere,,,,,0.8,0.8
10303,Delta 2914 fragmentation debris,1977-065DB,Rocket Fragmentation Debris,,,,,,,,
10459,Cosmos 3 second stage (S3) (Cosmos 3M (11K65M)),1977-107B,Rocket Body,1421.21,Cyl,,,,2.4,6.57,
10433,Tsiklon 2-2 (Tsyklon SL-11 (F-1m)),1977-104B,Rocket Body,3072.35,Cyl,,,,3.0,10.89,
10443,Cosmos-839 fragmentation debris,1976-067W,Payload Fragmentation Debris,,,,,,,,
8996,Delta 2910 debris,1975-004CG,Rocket Fragmentation Debris,,,,,,,,
10462,Cosmos-839 fragmentation debris,1976-067AH,Payload Fragmentation Debris,,,,,,,,
10463,Cosmos-839 fragmentation debris,1976-067AJ,Payload Fragmentation Debris,,,,,,,,
10788,Cosmos-1002 operational debris,1978-037C,Payload Mission Related Object,,,,,,,,
10467,Delta 2914 fragmentation debris,1977-065EB,Rocket Fragmentation Debris,,,,,,,,
11195,Cosmos-880 fragmentation debris,1976-120Z,Payload Fragmentation Debris,,,,,,,,
8976,Delta 2910 debris,1975-004BL,Rocket Fragmentation Debris,,,,,,,,
9037,Delta 2910 debris,1975-004DD,Rocket Fragmentation Debris,,,,,,,,
9036,Delta 2910 debris,1975-004DC,Rocket Fragmentation Debris,,,,,,,,
9040,Delta 2910 debris,1975-004DG,Rocket Fragmentation Debris,,,,,,,,
9006,OPS 5366,1976-065C,Payload,59.46,Oct Cyl,,,,0.9,0.3,
14083,Blok-DM (Proton-K/DM),1983-016F,Rocket Body,2120.91,Cyl,,,,3.7,6.27,
